filename,n_grains,median_ecd_count_mm,meanw_ecd_area_mm,count_Medplus_pct,count_Fine_pct,count_VFine_pct,count_Silt_pct,area_Medplus_pct,area_Fine_pct,area_VFine_pct,area_Silt_pct
RGLL03-03-1_2271_cp_masks.png,590,0.0917,0.154,1.2,20.0,64.9,13.9,7.8,43.7,45.6,3.0
RGLL03-03-2_2271_cp_masks.png,466,0.1112,0.1884,2.8,34.5,52.4,10.3,14.9,55.1,28.4,1.7
RGLL03-03-3_2271_cp_masks.png,469,0.0945,0.1725,1.9,26.9,54.4,16.8,11.2,53.2,32.6,3.0
RGLL03-03-4_2271_cp_masks.png,605,0.0924,0.1456,0.8,18.8,64.6,15.7,5.5,41.4,49.7,3.4
RGLL03-03-5_2271_cp_masks.png,550,0.0981,0.1665,2.4,26.0,59.1,12.5,13.4,47.1,37.1,2.4
RGLU05-01-1_2271_cp_masks.png,917,0.0774,0.1223,0.2,10.0,64.1,25.6,1.9,29.5,59.8,8.7
RGLU05-01-2_2271_cp_masks.png,941,0.0765,0.1055,0.1,4.8,67.3,27.8,1.2,15.0,73.8,10.0
RGLU05-01-3_2271_cp_masks.png,900,0.0772,0.1133,0.1,6.1,66.3,27.4,1.5,19.3,70.1,9.2
RGLU05-01-4_2271_cp_masks.png,926,0.0855,0.1142,0.0,10.3,69.8,20.0,0.0,26.0,67.7,6.2
RGLU05-01-5_2271_cp_masks.png,886,0.0828,0.1359,0.7,9.6,69.8,20.0,5.4,27.4,61.5,5.7
RGLU05-02-1_2271_cp_masks.png,872,0.0829,0.1358,0.7,9.4,69.6,20.3,5.5,27.1,61.6,5.8
RGLU05-02-2_2271_cp_masks.png,844,0.0782,0.12,0.2,8.6,64.3,26.8,2.2,25.9,63.7,8.2
RGLU05-02-3_2271_cp_masks.png,766,0.0819,0.132,0.7,10.4,61.6,27.3,5.6,28.7,58.1,7.6
RGLU05-02-4_2271_cp_masks.png,762,0.075,0.1142,0.0,7.7,60.6,31.6,0.0,25.1,64.4,10.5
RGLU05-02-5_2271_cp_masks.png,727,0.0843,0.1367,0.6,11.0,68.8,19.7,4.2,32.1,58.4,5.3
RGLU06-01-1_2271_cp_masks.png,455,0.074,0.2475,3.1,13.6,47.3,36.0,29.1,31.9,31.4,7.7
RGLU06-01-2_2271_cp_masks.png,211,0.1522,0.296,22.7,37.9,28.0,11.4,61.9,31.3,6.1,0.7
RGLU06-01-3_2271_cp_masks.png,549,0.0725,0.2003,2.9,12.0,46.4,38.6,27.1,30.1,33.7,9.1
RGLU06-01-4_2271_cp_masks.png,597,0.0755,0.1738,1.2,9.9,56.6,32.3,14.7,27.4,48.9,9.0
RGLU06-01-5_2271_cp_masks.png,691,0.0657,0.1699,1.2,7.5,46.7,44.6,16.1,23.9,45.5,14.5
RGLU06-02-1_2271_cp_masks.png,273,0.1299,0.2882,15.0,37.4,39.2,8.4,51.6,36.7,11.0,0.7
RGLU06-02-2_2271_cp_masks.png,578,0.0553,0.2822,4.5,9.2,27.7,58.7,45.9,26.9,17.1,10.1
RGLU06-02-3_2271_cp_masks.png,285,0.1218,0.2779,14.7,33.7,40.4,11.2,51.6,35.9,11.5,1.0
RGLU06-02-4_2271_cp_masks.png,1047,0.0704,0.1016,0.0,4.3,56.9,38.8,0.0,15.1,69.7,15.2
RGLU06-02-5_2271_cp_masks.png,303,0.1244,0.2804,14.5,35.0,33.7,16.8,51.5,37.5,9.7,1.3
RGLU06-03-1_2271_cp_masks.png,268,0.1131,0.2309,9.0,36.2,31.3,23.5,34.0,52.4,11.3,2.2
RGLU06-03-2_2271_cp_masks.png,181,0.1936,0.2577,25.4,45.3,19.9,9.4,52.3,42.9,4.3,0.6
RGLU06-03-3_2271_cp_masks.png,204,0.183,0.2597,24.5,45.6,23.0,6.9,53.9,40.6,5.1,0.4
RGLU06-03-4_2271_cp_masks.png,229,0.1564,0.233,12.7,50.2,27.9,9.2,35.4,56.3,7.6,0.7
RGLU06-03-5_2271_cp_masks.png,224,0.1659,0.2567,17.0,49.6,27.2,6.2,44.3,47.7,7.6,0.4
RGLU06-04-1_2271_cp_masks.png,414,0.0686,0.2593,8.9,17.6,30.2,43.2,48.6,33.2,12.5,5.7
RGLU06-04-2_2271_cp_masks.png,536,0.0683,0.2534,4.5,10.8,41.4,43.3,39.2,27.4,25.5,8.0
RGLU06-04-3_2271_cp_masks.png,1254,0.0513,0.1126,0.1,4.3,27.8,67.8,1.3,25.3,43.3,30.1
RGLU06-04-4_2271_cp_masks.png,791,0.0633,0.1635,0.3,11.9,39.3,48.5,4.6,45.0,36.2,14.2
RGLU06-04-5_2271_cp_masks.png,756,0.0671,0.1407,0.4,9.0,47.0,43.7,5.5,31.9,48.4,14.2
RGLU06-05-1_2271_cp_masks.png,243,0.1443,0.2274,10.3,51.9,28.4,9.5,30.5,59.3,9.4,0.8
RGLU06-05-2_2271_cp_masks.png,274,0.1379,0.2053,5.5,49.6,27.0,17.9,17.7,70.1,10.6,1.6
RGLU06-05-3_2271_cp_masks.png,263,0.154,0.2294,13.3,54.0,24.3,8.4,34.3,58.5,6.5,0.7
RGLU06-05-4_2271_cp_masks.png,223,0.1787,0.2554,16.6,55.6,19.7,8.1,40.6,54.3,4.5,0.5
RGLU06-05-5_2271_cp_masks.png,251,0.1587,0.2124,7.6,58.6,25.9,8.0,19.8,71.0,8.5,0.7
RGLU06-06-1_2271_cp_masks.png,852,0.0563,0.1949,1.3,7.4,32.9,58.5,19.9,28.5,34.2,17.4
RGLU06-06-2_2271_cp_masks.png,877,0.0511,0.2029,0.9,6.8,27.0,65.2,18.4,31.1,30.4,20.0
RGLU06-06-3_2271_cp_masks.png,876,0.0577,0.1818,1.3,6.2,36.5,56.1,18.8,25.3,38.7,17.2
RGLU06-06-4_2271_cp_masks.png,895,0.0551,0.1345,0.3,4.4,33.4,61.9,5.9,23.7,44.6,25.8
RGLU06-06-5_2271_cp_masks.png,876,0.0528,0.2561,1.1,4.3,30.5,64.0,27.8,18.9,32.5,20.8
